LISTED RESTAURANTS,LINKS RESTAURANTS,DIFFERENCE,5PM FILES
Suri=11,Suri=27,-16,969
Suryapet=16,Suryapet=31,-15,38
Tadepalligudem=26,Tadepalligudem=48,-22,15
Tadpatri=11,Tadpatri=21,-10,22
Tanuku=17,Tanuku=38,-21,17
Tenkasi=29,Tenkasi=46,-17,25
Tezpur=75,Tezpur=88,-13,6
Thanjavur=144,Thanjavur=144,0,23
Theni=38,Theni=64,-26,23
Thiruvalla=80,Thiruvalla=88,-8,75
Thiruvallur=53,Thiruvallur=79,-26,141
Thiruvananthapuram=426,Thiruvananthapuram=426,0,37
Thiruvarur=15,Thiruvarur=32,-17,86
Thoothukudi=96,Thoothukudi=96,0,62
Thrissur=244,Thrissur=244,0,449
Tinsukia=45,Tinsukia=64,-19,17
Tiptur=11,Tiptur=14,-3,90
Tirunelveli=165,Tirunelveli=165,0,245
Tirupati=263,Tirupati=263,0,47
Tirupattur=31,Tirupattur=41,-10,9
Tirupur=253,Tirupur=253,0,162
Tiruvannamalai=47,Tiruvannamalai=78,-31,258
Tohana=13,Tohana=21,-8,248
Trichy=247,Trichy=247,0,52
Tumakuru=110,Tumakuru=110,0,13
Tuni=19,Tuni=35,-16,281
Udaipur=738,Udaipur=739,-1,116
Udgir=22,Udgir=27,-5,23
Udumalaipettai=29,Udumalaipettai=48,-19,760
Ujjain=117,Ujjain=117,0,22
Uluberia=12,Uluberia=14,-2,31
Una=49,Una=49,0,127
Unnao=60,Unnao=94,-34,12
Vadodara=940,Vadodara=940,0,1
Valsad=73,Valsad=96,-23,62
Vapi=131,Vapi=131,0,1021
Varanasi=691,Varanasi=693,-2,75
Vellore=197,Vellore=197,0,125
Veraval=26,Veraval=52,-26,720
Vidisha=56,Vidisha=69,-13,206
Vijayawada=607,Vijayawada=607,0,32
Viluppuram=56,Viluppuram=80,-24,61
Virudhunagar=40,Virudhunagar=75,-35,621
Vizag=164,Vizag=164,0,56
Vizianagaram=88,Vizianagaram=100,-12,40
Vyara=24,Vyara=38,-14,171
Waidhan=44,Waidhan=55,-11,83
Warangal=226,Warangal=226,0,24
Wardha=67,Wardha=93,-26,43
Washim=18,Washim=22,-4,231
Wayanad=5,Wayanad=17,-12,69
Yamuna-nagar=144,Yamuna-nagar=144,0,17
Yavatmal=54,Yavatmal=70,-16,5
