62 restaurants Thiruvallur
449 restaurants Thiruvananthapuram
17 restaurants Thiruvarur
90 restaurants Thoothukudi
245 restaurants Thrissur
0 Tindivanam
47 restaurants Tinsukia
9 restaurants Tiptur
162 restaurants Tirunelveli
258 restaurants Tirupati
0 Tirupattur
248 restaurants Tirupur
0 Tiruttani
52 restaurants Tiruvannamalai
13 restaurants Tohana
281 restaurants Trichy
116 restaurants Tumakuru
23 restaurants Tuni
760 restaurants Udaipur
22 restaurants Udgir
31 restaurants Udumalaipettai
127 restaurants Ujjain
12 restaurants Uluberia
1 restaurant Una
62 restaurants Unnao
1021 restaurants Vadodara
75 restaurants Valsad
125 restaurants Vapi
720 restaurants Varanasi
206 restaurants Vellore
32 restaurants Veraval
61 restaurants Vidisha
621 restaurants Vijayawada
56 restaurants Viluppuram
40 restaurants Virudhunagar
171 restaurants Vizag
83 restaurants Vizianagaram
24 restaurants Vyara
43 restaurants Waidhan
231 restaurants Warangal
69 restaurants Wardha
17 restaurants Washim
5 restaurants Wayanad
151 restaurants Yamuna-nagar
56 restaurants Yavatmal
